分组	限制项	官方值	本仓取值(官方×95%,所有者2026-08-27定稿)	接口	官方URL	官方原句	核对日期
电子表格写(sheets v2)	接口频率限制	100 次/秒	未采用(仅存档)	v2 追加数据 POST .../values_append	https://open.feishu.cn/document/server-docs/docs/sheets-v3/data-operation/append-data?lang=zh-CN	接口频率限制 | 100 次/秒	2026-08-27
电子表格写(sheets v2)	单次写入行/列上限 + 单元格字符上限	5,000 行 × 100 列；50,000 字符（推荐 40,000）	未采用(仅存档)	v2 插入数据 POST /open-apis/sheets/v2/spreadsheets/:spreadsheetToken/values_prepend	https://open.feishu.cn/document/ukTMukTMukTM/uIjMzUjLyIzM14iMyMTN	单次写入数据不可超过 5,000 行、100 列。每个单元格不可超过 50,000 字符，由于服务端会增加控制字符，因此推荐每个单元格不超过 40,000 字符。	2026-08-27
电子表格写(sheets v2)	range 与数据的关系约束（prepend 特有:实际增行数由 values 决定）	range ≥ 插入数据占用范围；最终增加行数取决于 values	未采用(仅存档)	v2 插入数据 POST .../values_prepend	https://open.feishu.cn/document/ukTMukTMukTM/uIjMzUjLyIzM14iMyMTN	range 所指定的范围需要大于等于插入的数据所占用的范围。但最终增加的行数由 value 决定。	2026-08-27
电子表格写(sheets v2)	单次增加行/列上限	5000 行或列；length 取值范围 (0,5000]	4750 行(_SHEET_DIMENSION_MAX,sheet_ensure_rows 扩行)	v2 增加行列 POST /open-apis/sheets/v2/spreadsheets/:spreadsheet_token/dimension_range	https://open.feishu.cn/document/server-docs/docs/sheets-v3/sheet-rowcol/add-rows-or-columns?lang=zh-CN	单次调用该接口，最多支持增加 5000 行或列。该接口仅支持在工作表的行末尾或列末尾新增行列。要在指定位置新增行列，你需使用插入行列。	2026-08-27
电子表格写(sheets v2)	length 字段取值范围	(0,5000]	4750 行(_SHEET_DIMENSION_MAX)	v2 增加行列 POST .../dimension_range 请求体 length	https://open.feishu.cn/document/ukTMukTMukTM/uUjMzUjL1IzM14SNyMTN	要增加的行数或列数。取值范围为 (0,5000]。	2026-08-27
电子表格写(sheets v2)	单次插入行/列上限	5000 行或列	未采用(仅存档)	v2 插入行列 POST /open-apis/sheets/v2/spreadsheets/:spreadsheetToken/insert_dimension_range	https://open.feishu.cn/document/server-docs/docs/sheets-v3/sheet-rowcol/insert-rows-or-columns?lang=zh-CN	单次调用该接口，最多支持插入 5000 行或列。	2026-08-27
电子表格写(sheets v2)	单次删除行/列上限	5000 行或列	4750 行(_SHEET_DIMENSION_MAX,sheet_overwrite 删尾行)	v2 删除行列 DELETE /open-apis/sheets/v2/spreadsheets/:spreadsheetToken/dimension_range	https://open.feishu.cn/document/server-docs/docs/sheets-v3/sheet-rowcol/-delete-rows-or-columns?lang=zh-CN	单次调用该接口，最多支持删除 5000 行或列。	2026-08-27
电子表格写(sheets v2)	删除行列的最小保留约束	工作表至少保留 1 行 1 列，不能删光	未采用(仅存档)	v2 删除行列 DELETE .../dimension_range	https://open.feishu.cn/document/server-docs/docs/sheets-v3/sheet-rowcol/-delete-rows-or-columns?lang=zh-CN	一个工作表最少需有一行一列。你无法删除所有行或列。	2026-08-27
电子表格写(sheets v2)	单次设置样式范围上限	5,000 行 × 100 列	未采用(仅存档)	v2 设置单元格样式 PUT /open-apis/sheets/v2/spreadsheets/:spreadsheetToken/style 与 批量设置单元格样式 PUT .../styles_batch_update	https://open.feishu.cn/document/ukTMukTMukTM/uAzMzUjLwMzM14CMzMTN	单次设置的范围不可超过 5,000 行 100 列。	2026-08-27
电子表格写(sheets v2)	设置边框样式时单次更新单元格数上限	30,000 个单元格	未采用(仅存档)	v2 设置单元格样式 PUT .../style 与 批量设置单元格样式 PUT .../styles_batch_update	https://open.feishu.cn/document/ukTMukTMukTM/uAzMzUjLwMzM14CMzMTN	在设置边框样式时，单次更新的单元格数量不可超过 30,000 个。	2026-08-27
电子表格写(sheets v2)	样式接口频率限制	100 次/秒	未采用(仅存档)	v2 批量设置单元格样式 PUT /open-apis/sheets/v2/spreadsheets/:spreadsheetToken/styles_batch_update	https://open.feishu.cn/document/server-docs/docs/sheets-v3/data-operation/batch-set-cell-style?lang=zh-CN	接口频率限制 | 100 次/秒	2026-08-27
电子表格写(sheets v2)	10 MB 上限的真实归属（读方向，非写请求体）	10 MB 是【读取单个范围】响应数据上限，官方从未把 10MB 写在任何写接口上	9,000,000 字节写预算(_SHEET_WRITE_BYTE_BUDGET,工程值,由读侧 10MB 折算)	v2 读取单个范围 GET /open-apis/sheets/v2/spreadsheets/:spreadsheetToken/values/:range（对照项）	https://open.feishu.cn/document/server-docs/docs/sheets-v3/data-operation/reading-a-single-range?lang=zh-CN	该接口返回数据的最大限制为 10 MB。	2026-08-27
电子表格写(sheets v2)	错误码 90202 官方语义	validate RangeVal fail — range 格式有误	未采用(仅存档)	服务端错误码说明（云文档/电子表格通用）	https://open.feishu.cn/document/ukTMukTMukTM/ugjM14COyUjL4ITN	90202 | validate RangeVal fail | 请求中range格式有误，检查请求中的range是否合规	2026-08-27
电子表格写(sheets v2)	错误码 90204 官方语义	WrongRequestBody — 请求体/入参有误	未采用(仅存档)	服务端错误码说明（云文档/电子表格通用）	https://open.feishu.cn/document/ukTMukTMukTM/ugjM14COyUjL4ITN	90204 | WrongRequestBody | 请求体有误，请求入参有问题，请仔细检查入参	2026-08-27
电子表格写(sheets v2)	错误码 90221 官方语义	TooLargeResponse — 返回数据过大（读方向，非写方向）	读通道 sheet_values_rows 对半重读兜底	服务端错误码说明（云文档/电子表格通用）	https://open.feishu.cn/document/ukTMukTMukTM/ugjM14COyUjL4ITN	90221 | TooLargeResponse | 需要返回的数据过大，降低查询量	2026-08-27
电子表格写(sheets v2)	错误码 90227 官方语义	TooLargeRequest — 请求数据量过大（写方向超量的主要错误码）	写通道 _sheet_put 对半重切兜底(一层,再失败即抛)	服务端错误码说明（云文档/电子表格通用）	https://open.feishu.cn/document/ukTMukTMukTM/ugjM14COyUjL4ITN	90227 | TooLargeRequest | 请求数据量过大，请减少数据量	2026-08-27
电子表格写(sheets v2)	错误码 90222 官方语义（写方向相关,附赠）	TooLargeCell — 单元格内容过大	未采用(仅存档)	服务端错误码说明（云文档/电子表格通用）	https://open.feishu.cn/document/ukTMukTMukTM/ugjM14COyUjL4ITN	90222 | TooLargeCell | 单元格内容过大，减少单元格内容	2026-08-27
电子表格写(sheets v2)	错误码 90226 官方语义（写方向相关,附赠）	ExcessLimit — 超出限制	未采用(仅存档)	服务端错误码说明（云文档/电子表格通用）	https://open.feishu.cn/document/ukTMukTMukTM/ugjM14COyUjL4ITN	90226 | ExcessLimit | 超出限制，根据返回的消息调整请求数量	2026-08-27
电子表格写(sheets v2)	错误码 90216 官方语义（写方向相关,附赠:写了但没变更也报错）	EmptyValue — 参数错误或本次请求未导致数据变更	未采用(仅存档)	服务端错误码说明（云文档/电子表格通用）	https://open.feishu.cn/document/ukTMukTMukTM/ugjM14COyUjL4ITN	90216 | EmptyValue | 请求参数错误 或 本次请求未导致数据变更，请检查参数	2026-08-27
电子表格写(sheets v2)	错误码 90215 官方语义（写方向相关,附赠）	SheetIdNotFound — 子表不存在	未采用(仅存档)	服务端错误码说明（云文档/电子表格通用）	https://open.feishu.cn/document/ukTMukTMukTM/ugjM14COyUjL4ITN	90215 | SheetIdNotFound | sheetId 没有找到，请求入参对应的子表不存在，修正请求参数	2026-08-27
电子表格写(sheets v2)	产品级规格：单个工作表列数上限	13,000 列（含空列）	未采用(仅存档)	电子表格产品规格（非单次请求限制），影响 dimension_range 累计增列	https://open.feishu.cn/document/server-docs/docs/sheets-v3/sheets-faq?lang=zh-CN	单个工作表中列的数量不可超过 13,000 列（包含空列）	2026-08-27
电子表格写(sheets v2)	产品级规格：单个工作表单元格总数上限	5,000,000 个（含空单元格）	未采用(仅存档)	电子表格产品规格（非单次请求限制），影响累计写入	https://open.feishu.cn/document/server-docs/docs/sheets-v3/sheets-faq?lang=zh-CN	单个工作表中单元格的数量不可超过 5,000,000 个（包含空单元格）	2026-08-27
电子表格写(sheets v2)	产品级规格：单个电子表格工作表数上限	300 个	未采用(仅存档)	电子表格产品规格	https://open.feishu.cn/document/server-docs/docs/sheets-v3/sheets-faq?lang=zh-CN	单个电子表格中工作表的数量不可超过 300 个	2026-08-27
电子表格写(sheets v2)	产品级规格：单元格字符上限（与 API 页 50,000 冲突，取小）	45,000 个字符（FAQ 口径）vs 50,000（写接口页口径）	未采用(仅存档)	电子表格产品规格 FAQ 第 2 问；与写接口页的 50,000 字符不一致	https://open.feishu.cn/document/server-docs/docs/sheets-v3/sheets-faq?lang=zh-CN	单个单元格中的字符数量不可超过 45,000 个	2026-08-27
电子表格写(sheets v2)	v3 创建电子表格频率限制（v3 唯一与写相关的对照）	20 次/分钟	未采用(仅存档)	v3 创建电子表格 POST /open-apis/sheets/v3/spreadsheets	https://open.feishu.cn/document/server-docs/docs/sheets-v3/spreadsheet/create?lang=zh-CN	接口频率限制 | 20 次/分钟	2026-08-27
电子表格写(sheets v2)	请求体字节上限 10MB	官方未说明	未采用(仅存档)	(官方未说明,不许推断)		【请求体字节上限 10MB】官方未说明。v2 values / values_batch_update / values_append / values_prepend 四个写接口页的「使用限制」章节均只写行列数与单元格字符数，全无任何 MB / 字节级请求体上限。逐页核对结论均为「未提及」。网上流传的「写入 10MB」是把读接口的『该接口返回数据的最大限制为 10 MB』（响应方向）张冠李戴，不可作为写侧依据。超量时只会拿到 90227 TooLargeRequest，官方不给阈值。	2026-08-27
电子表格写(sheets v2)	values_batch_update 的 range 段数（valueRanges 数组长度）上限	官方未说明	未采用(仅存档)	(官方未说明,不许推断)		【values_batch_update 的 range 段数（valueRanges 数组长度）上限】官方未说明。请求体参数表与使用限制章节均未给出数组长度上限，只约束总行列数 5000×100。	2026-08-27
电子表格写(sheets v2)	values_append / values_prepend 是否有独立于 values 的请求体上限	官方未说明	未采用(仅存档)	(官方未说明,不许推断)		【values_append / values_prepend 是否有独立于 values 的请求体上限】官方未说明，两页均无字节级限制。	2026-08-27
电子表格写(sheets v2)	styles_batch_update 的 data 数组段数上限	官方未说明	未采用(仅存档)	(官方未说明,不许推断)		【styles_batch_update 的 data 数组段数上限】官方未说明，只给了 5,000 行×100 列 与 边框 30,000 单元格两条。	2026-08-27
电子表格写(sheets v2)	v3 版本的电子表格写入接口	官方未说明	未采用(仅存档)	(官方未说明,不许推断)		【v3 版本的电子表格写入接口】官方无此接口。概述页 API 清单中 /open-apis/sheets/v3/ 仅覆盖 spreadsheets 创建/获取/修改、sheets 查询、filter、filter_views、move_dimension、find、replace、float_images；『向单个/多个范围写入数据』『追加数据』『插入数据』『增/插/删行列』『设置样式』全部只有 v2 路径。故本仓沿用 v2 是官方唯一路径，不存在 v2/v3 写入限制差异。	2026-08-27
电子表格写(sheets v2)	90221 在写方向的语义	官方未说明	未采用(仅存档)	(官方未说明,不许推断)		【90221 在写方向的语义】官方原文只写读方向（『需要返回的数据过大，降低查询量』），官方未说明其在写请求下的含义；写方向超量对应的是 90227。	2026-08-27
电子表格写(sheets v2)	错误码 90202/90204/90221/90227 是否有电子表格专属错误码页	官方未说明	未采用(仅存档)	(官方未说明,不许推断)		【错误码 90202/90204/90221/90227 是否有电子表格专属错误码页】官方未提供电子表格独立错误码表，这四码统一收在通用的『服务端错误码说明』里（云文档段 902xx）。	2026-08-27
电子表格写(sheets v2)	单次写入的总字节数 / 总单元格数上限	官方未说明	未采用(仅存档)	(官方未说明,不许推断)		【单次写入的总字节数 / 总单元格数上限】官方未说明，只有行×列（5000×100=500,000 单元格）与单元格字符数两个维度。	2026-08-27
电子表格写(sheets v2)	写接口触发限流后的退避建议 / 429 语义	官方未说明	未采用(仅存档)	(官方未说明,不许推断)		【写接口触发限流后的退避建议 / 429 语义】官方未在写接口页说明。	2026-08-27
电子表格读(sheets v2)	读取单个范围(v2)——响应体最大限制	10 MB	4750 行/块(_SHEET_READ_BLOCK_ROWS,工程值)+ 90221 对半兜底	v2 · GET /open-apis/sheets/v2/spreadsheets/:spreadsheetToken/values/:range	https://open.feishu.cn/document/server-docs/docs/sheets-v3/data-operation/reading-a-single-range?lang=zh-CN	## 使用限制 ⏎ ⏎ - 该接口返回数据的最大限制为 10 MB。	2026-08-27
电子表格读(sheets v2)	读取单个范围(v2)——列数上限(仅特定 range 写法)	100 列	未采用(仅存档)	v2 · values/:range;仅当 range 写作 `<sheetId>!<开始单元格>:<结束列>` 或 `<sheetId>!<开始列>:<结束列>` 时	https://open.feishu.cn/document/server-docs/docs/sheets-v3/data-operation/reading-a-single-range?lang=zh-CN	**注意**：若使用 `<sheetId>!<开始单元格>:<结束列>` 和 `<sheetId>!<开始列>:<结束列>` 的写法时，仅支持获取 100 列数据。	2026-08-27
电子表格读(sheets v2)	读取单个范围(v2)——不支持读取的内容	不支持跨表引用和数组公式的计算结果	未采用(仅存档)	v2 · GET /open-apis/sheets/v2/spreadsheets/:spreadsheetToken/values/:range	https://open.feishu.cn/document/server-docs/docs/sheets-v3/data-operation/reading-a-single-range?lang=zh-CN	- 该接口不支持获取跨表引用和数组公式的计算结果。	2026-08-27
电子表格读(sheets v2)	读取单个范围(v2)——接口频率限制	单租户单应用 100 次/秒	未采用(仅存档)	v2 · GET /open-apis/sheets/v2/spreadsheets/:spreadsheetToken/values/:range	https://open.feishu.cn/document/server-docs/docs/sheets-v3/overview?lang=zh-CN	| [读取单个范围](https://open.feishu.cn/document/ukTMukTMukTM/ugTMzUjL4EzM14COxMTN) | 单租户单应用100次/秒 |	2026-08-27
电子表格读(sheets v2)	读取多个范围(v2)——响应体最大限制	10 MB	未采用(仅存档)	v2 · GET /open-apis/sheets/v2/spreadsheets/:spreadsheetToken/values_batch_get	https://open.feishu.cn/document/server-docs/docs/sheets-v3/data-operation/reading-multiple-ranges?lang=zh-CN	## 使用限制 ⏎ ⏎ - 该接口返回数据的最大限制为 10 MB。	2026-08-27
电子表格读(sheets v2)	读取多个范围(v2)——列数上限(仅特定 range 写法)	100 列	未采用(仅存档)	v2 · values_batch_get;官方此页只列了 `<sheetId>!<开始单元格>:<结束列>` 一种写法(比单范围页少一种)	https://open.feishu.cn/document/server-docs/docs/sheets-v3/data-operation/reading-multiple-ranges?lang=zh-CN	**注意**：若使用 `<sheetId>!<开始单元格>:<结束列>` 的写法时，仅支持获取 100 列数据。	2026-08-27
电子表格读(sheets v2)	读取多个范围(v2)——不支持读取的内容	不支持跨表引用和数组公式的计算结果	未采用(仅存档)	v2 · GET /open-apis/sheets/v2/spreadsheets/:spreadsheetToken/values_batch_get	https://open.feishu.cn/document/server-docs/docs/sheets-v3/data-operation/reading-multiple-ranges?lang=zh-CN	- 该接口不支持获取跨表引用和数组公式的计算结果。	2026-08-27
电子表格读(sheets v2)	读取多个范围(v2)——ranges 参数格式(官方未给个数上限)	逗号分隔;官方未说明范围个数上限	未采用(仅存档)	v2 · values_batch_get 查询参数 ranges	https://open.feishu.cn/document/server-docs/docs/sheets-v3/data-operation/reading-multiple-ranges?lang=zh-CN	ranges | string | 是 | 多个查询范围，范围之间使用逗号分隔，如 `Q7PlXT!A2:B6,0b6377!B1:C8`。range 的格式为 `<sheetId>!<开始位置>:<结束位置>`。	2026-08-27
电子表格读(sheets v2)	读取多个范围(v2)——接口频率限制	单租户单应用 100 次/秒	未采用(仅存档)	v2 · GET /open-apis/sheets/v2/spreadsheets/:spreadsheetToken/values_batch_get	https://open.feishu.cn/document/server-docs/docs/sheets-v3/overview?lang=zh-CN	| [读取多个范围](https://open.feishu.cn/document/ukTMukTMukTM/ukTMzUjL5EzM14SOxMTN) | 单租户单应用100次/秒 |	2026-08-27
电子表格读(sheets v2)	v3 是否存在 values 读接口	不存在。官方「方法列表 › 工作表 - 数据」中两个读接口均为 v2;该分组下只有「查找单元格」「替换单元格」是 v3(find/replace),无 /sheets/v3/.../values	未采用(仅存档)	v3 · 全站 sheets v3 端点清单	https://open.feishu.cn/document/server-docs/docs/sheets-v3/overview?lang=zh-CN	[读取单个范围](https://open.feishu.cn/document/ukTMukTMukTM/ugTMzUjL4EzM14COxMTN)<br>`GET` /open-apis/sheets/v2/spreadsheets/:spreadsheetToken/values/:range … [读取多个范围](https://open.feishu.cn/document/ukTMukTMukTM/ukTMzUjL5EzM14SOxMTN)<br>`GET` /open-apis/sheets/v2/spreadsheets/:spreadsheetToken/values_batch_get	2026-08-27
电子表格读(sheets v2)	v2/v3 版本判据(官方定义)	HTTP URL 中含 `v2` 标识者即 v2 接口;v2 接口不支持 API 调试台	未采用(仅存档)	v2 与 v3 的官方区分方式	https://open.feishu.cn/document/server-docs/docs/sheets-v3/sheets-faq?lang=zh-CN	因为这些接口为 v2 版本的接口，现阶段仅支持调试 v3 版本接口。**说明**：v2 版本的接口是指在接口的 HTTP URL 含有 `v2` 标识的接口。	2026-08-27
电子表格读(sheets v2)	valueRenderOption 官方语义(未提及对体积的影响)	缺省时不进行公式计算、返回公式本身且单元格为数值格式;可选 ToString / Formula / FormattedValue / UnformattedValue	未采用(仅存档)	v2 · values/:range 与 values_batch_get 的查询参数(两页文案一致)	https://open.feishu.cn/document/server-docs/docs/sheets-v3/data-operation/reading-a-single-range?lang=zh-CN	valueRenderOption | string | 否 | 指定单元格数据的格式。可选值如下所示。当参数缺省时，默认不进行公式计算，返回公式本身，且单元格为数值格式。<br>- ToString：返回纯文本的值（数值类型除外）<br>- Formula：单元格中含有公式时，返回公式本身<br>- FormattedValue：计算并格式化单元格<br>- UnformattedValue：计算但不对单元格进行格式化	2026-08-27
电子表格读(sheets v2)	dateTimeRenderOption 官方语义(未提及对体积的影响)	缺省返回浮点数值(1899-12-30 起的天数);可选 FormattedString 返回格式化字符串	未采用(仅存档)	v2 · values/:range 与 values_batch_get 的查询参数(两页文案一致)	https://open.feishu.cn/document/server-docs/docs/sheets-v3/data-operation/reading-a-single-range?lang=zh-CN	dateTimeRenderOption | string | 否 | 指定数据类型为日期、时间、或时间日期的单元格数据的格式。<br>- 若不传值，默认返回浮点数值，整数部分为自 1899 年 12 月 30 日以来的天数；小数部分为该时间占 24 小时的份额。……<br>- 可选值为 FormattedString，此时接口将计算并对日期、时间、或时间日期类型的数据格式化并返回格式化后的字符串，但不会对数字进行格式化。	2026-08-27
电子表格读(sheets v2)	整表规格——单个电子表格中工作表数量	不可超过 300 个	未采用(仅存档)	电子表格整体(v2/v3 通用)	https://open.feishu.cn/document/server-docs/docs/sheets-v3/overview?lang=zh-CN	- 单个电子表格中工作表的数量不可超过 300 个	2026-08-27
电子表格读(sheets v2)	整表规格——单个工作表列数	不可超过 13,000 列(包含空列)	未采用(仅存档)	电子表格整体(v2/v3 通用)	https://open.feishu.cn/document/server-docs/docs/sheets-v3/overview?lang=zh-CN	- 单个工作表中列的数量不可超过 13,000 列（包含空列）	2026-08-27
电子表格读(sheets v2)	整表规格——单个工作表单元格总数	不可超过 5,000,000 个(包含空单元格)	未采用(仅存档)	电子表格整体(v2/v3 通用)	https://open.feishu.cn/document/server-docs/docs/sheets-v3/overview?lang=zh-CN	- 单个工作表中单元格的数量不可超过 5,000,000 个（包含空单元格）	2026-08-27
电子表格读(sheets v2)	整表规格——单个单元格字符数(概述页口径)	不超过 50,000 字符,推荐不超过 40,000 字符	未采用(仅存档)	电子表格整体;与 FAQ 页的 45,000 口径冲突,见 notes	https://open.feishu.cn/document/server-docs/docs/sheets-v3/overview?lang=zh-CN	- 单个单元格不超过 50,000 字符，由于服务端会增加控制字符，因此推荐每个单元格不超过 40,000 字符。	2026-08-27
电子表格读(sheets v2)	整表规格——单个单元格字符数(FAQ 页口径,与概述页冲突)	不可超过 45,000 个	未采用(仅存档)	电子表格整体;与概述页 50,000/40,000 口径冲突	https://open.feishu.cn/document/server-docs/docs/sheets-v3/sheets-faq?lang=zh-CN	- 单个单元格中的字符数量不可超过 45,000 个	2026-08-27
电子表格读(sheets v2)	整表规格——单篇文档中电子表格数量	不可超过 1,500 个	未采用(仅存档)	电子表格整体(v2/v3 通用)	https://open.feishu.cn/document/server-docs/docs/sheets-v3/overview?lang=zh-CN	- 单篇文档中电子表格的数量不可超过 1,500 个	2026-08-27
电子表格读(sheets v2)	错误码 90202	validate RangeVal fail — 请求中 range 格式有误	未采用(仅存档)	服务端通用错误码表(sheets 90xxx 段);读取接口 range/ranges 拼错时命中	https://open.feishu.cn/document/server-docs/api-call-guide/generic-error-code?lang=zh-CN	90202 | validate RangeVal fail | 请求中range格式有误，检查请求中的range是否合规	2026-08-27
电子表格读(sheets v2)	错误码 90204	WrongRequestBody — 请求体有误	未采用(仅存档)	服务端通用错误码表(sheets 90xxx 段)	https://open.feishu.cn/document/server-docs/api-call-guide/generic-error-code?lang=zh-CN	90204 | WrongRequestBody | 请求体有误，请求入参有问题，请仔细检查入参	2026-08-27
电子表格读(sheets v2)	错误码 90221(读取超限的核心信号)	TooLargeResponse — 需要返回的数据过大	读通道 sheet_values_rows 对半重读兜底	服务端通用错误码表(sheets 90xxx 段);超过 10 MB 响应上限时命中	https://open.feishu.cn/document/server-docs/api-call-guide/generic-error-code?lang=zh-CN	90221 | TooLargeResponse | 需要返回的数据过大，降低查询量	2026-08-27
电子表格读(sheets v2)	错误码 90227	TooLargeRequest — 请求数据量过大	未采用(仅存档)	服务端通用错误码表(sheets 90xxx 段);属请求侧超限,非响应侧	https://open.feishu.cn/document/server-docs/api-call-guide/generic-error-code?lang=zh-CN	90227 | TooLargeRequest | 请求数据量过大，请减少数据量	2026-08-27
电子表格读(sheets v2)	错误码 90219(相邻相关码)	CellExcess — 单元格数量超过限制	未采用(仅存档)	服务端通用错误码表(sheets 90xxx 段)	https://open.feishu.cn/document/server-docs/api-call-guide/generic-error-code?lang=zh-CN	90219 | CellExcess | 单元格数量超过限制，检查单元格数量	2026-08-27
电子表格读(sheets v2)	错误码 90226(相邻相关码)	ExcessLimit — 超出限制	未采用(仅存档)	服务端通用错误码表(sheets 90xxx 段)	https://open.feishu.cn/document/server-docs/api-call-guide/generic-error-code?lang=zh-CN	90226 | ExcessLimit | 超出限制，根据返回的消息调整请求数量	2026-08-27
电子表格读(sheets v2)	错误码 90217(限流码)	TooManyRequest — 请求太频繁	限流码,走 _RATELIMIT_CODES 的 reset 头等待	服务端通用错误码表(sheets 90xxx 段);对应 100 次/秒 频率限制	https://open.feishu.cn/document/server-docs/api-call-guide/generic-error-code?lang=zh-CN	90217 | TooManyRequest | 请求太频繁，请降低请求调用频率	2026-08-27
电子表格读(sheets v2)	错误码 90222(单元格内容侧)	TooLargeCell — 单元格内容过大	未采用(仅存档)	服务端通用错误码表(sheets 90xxx 段)	https://open.feishu.cn/document/server-docs/api-call-guide/generic-error-code?lang=zh-CN	90222 | TooLargeCell | 单元格内容过大，减少单元格内容	2026-08-27
电子表格读(sheets v2)	国际版(Lark)读取单个范围——响应体上限	10 MB	未采用(仅存档)	v2 · GET https://open.larksuite.com/open-apis/sheets/v2/spreadsheets/:spreadsheetToken/values/:range	https://open.larksuite.com/document/server-docs/docs/sheets-v3/data-operation/reading-a-single-range?lang=en-US	This API is used to read the values in a single range based on spreadsheetToken and range. No more than 10 MB of data can be returned.	2026-08-27
电子表格读(sheets v2)	国际版(Lark)读取多个范围——响应体上限	10 MB	未采用(仅存档)	v2 · GET https://open.larksuite.com/open-apis/sheets/v2/spreadsheets/:spreadsheetToken/values_batch_get	https://open.larksuite.com/document/server-docs/docs/sheets-v3/data-operation/reading-multiple-ranges?lang=en-US	This API is used to read the values in multiple ranges based on spreadsheetToken and range. No more than 10 MB of data can be returned.	2026-08-27
