API category	API name	Rate limit	Method	Endpoint
Price Management	Update Walmart-funded incentives enrollment for all items	1/min	PUT	/v3/price/incentives/wfpreference
Price Management	Update reduced referral fee incentives enrollment	6/hour	POST	/v3/feeds?feedType=INCENTIVE_ENROLLMENT
Price Management	Get Pricing Insights	2/min	POST	/v3/price/getPricingInsights
Price Management	Retrieve repricer strategy details	10/min	GET	/v3/repricer/strategies
Price Management	Update bulk prices (Legacy)	10/hour	POST	/v3/feeds
Price Management	Retrieve price incentives data	60/min	GET	/v3/price/incentives
Price Management	Set up CAP SKU All	30/min	POST	/v3/cppreference
Price Management	List of Repricer Strategies	50/hour	GET	/v3/repricer/strategies
Price Management	List of Price Incentive Items	60/min	GET	/v3/price/incentives
Promotion Management	Update a promotional price	100/hour	PUT	/v3/price
Promotion Management	Promotional prices	1000/min	GET	/v3/promo/sku/{sku}
Returns Management	Issue refund	60/min	POST	/v3/returns/{returnOrderId}/refund
Returns Management	Returns	50/min	GET	/v3/returns
Recommendations	Recommended Shipment Quantity	100/min	GET	/v3/wfs/recommendation/shipment-quantity
Reviews Acceleration	Bulk Update Item Status	100/hour	PUT	/v3/growth/reviews-accelerator/items/status
Reviews Acceleration	Get RAP Post-Purchase Items	20/min	POST	/v3/growth/reviews-accelerator/items
Reviews Acceleration	Get Categories	100/hour	POST	/v3/growth/reviews-accelerator/categories
Settings Management	Get Shipping Template Details	750/min	GET	/v3/settings/shipping/templates/{templateId}
Settings Management	Update Shipping Templates	100/min	PUT	/v3/settings/shipping/templates/{templateId}
Settings Management	Delete Shipping Template	100/min	DELETE	/v3/settings/shipping/templates/{templateId}
Settings Management	Get all fulfillment centers	50/min	GET	/v3/settings/shipping/shipnodes
Settings Management	Update fulfillment center	60/min	PUT	/v3/settings/shipping/shipnodes
Settings Management	Create fulfillment center	10/min	POST	/v3/settings/shipping/shipnodes
Settings Management	Get account level settings	50/min	GET	/v3/settings/shipping/account
Settings Management	Update account level settings	100/min	PUT	/v3/settings/shipping/account
Settings Management	Create account level settings	10/min	POST	/v3/settings/shipping/account
Settings Management	Get All Shipping Templates	300/min	GET	/v3/settings/shipping/templates
Settings Management	Create Shipping Templates	60/min	POST	/v3/settings/shipping/templates
Settings Management	Third party fulfillment center association	10/min	POST	/v3/settings/shipping/3plshipnodes
Settings Management	Get Shipping Configurations	100/min	GET	/v3/settings/shippingprofile
Settings Management	Get Shipping Template Activation Status	10/min	GET	/v3/settings/shipping/templates/activationStatus
Settings Management	Get coverage for fulfillment centers	100/min	GET	/v3/settings/shipping/shipnodes/coverage
Settings Management	Get carrier methods	10/min	GET	/v3/settings/shipping/carriers
Settings Management	Get all third party fulfillment providers	10/min	GET	/v3/settings/shipping/3plproviders
Settings Management	Get Partner Configurations	50/min	GET	/v3/settings/partnerprofile
Ship With Walmart	Create label	100/min	POST	/v3/shipping/labels
Ship With Walmart	Shipping estimates	100/min	POST	/v3/shipping/labels/shipping-estimates
Ship With Walmart	Labels detail by purchase order id	100/min	GET	/v3/shipping/labels/purchase-orders/{purchaseOrderId}
Ship With Walmart	Supported carriers	100/min	GET	/v3/shipping/labels/carriers
Ship With Walmart	Download label	100/min	GET	/v3/shipping/labels/carriers/{carrierShortName}/trackings/{trackingNo}
Ship With Walmart	Discard label	100/min	DELETE	/v3/shipping/labels/carriers/{carrierShortName}/trackings/{trackingNo}
Ship With Walmart	Supported carrier package types	100/min	GET	/v3/shipping/labels/carriers/{carrierShortName}/package-types
Simplified Shipping Settings Management	Update FC Level Simplified Shipping Settings	25/min	PUT	/v3/settings/shipping/simplifiedshippingsettings/fulfillmentcenter
Simplified Shipping Settings Management	Update Simplified Shipping Settings	25/min	PUT	/v3/settings/shipping/simplifiedshippingsettings/account
Simplified Shipping Settings Management	Create Simplified Shipping Settings	5/min	POST	/v3/settings/shipping/simplifiedshippingsettings/account
Simplified Shipping Settings Management	Get Simplified Shipping Settings	50/min	GET	/v3/settings/shipping/simplifiedshippingsettings
Utilities Management	Taxonomy by Spec	20/min	GET	/v3/utilities/taxonomy
Utilities Management	API Platform Status	100/min	GET	/v3/utilities/apiStatus
# 以下 Insights Seller Performance 端点在 API Reference 文档中存在（已通过抓取 /us-marketplace/docs/retrieve-* 页面确认路径），
# 但未列入官方 rate-limiting 速率限制表（2026-04-15 验证）。调用时建议按同类 1/min 保守节流，并监控 x-current-token-count 响应头。
# 注：旧的 /v3/insights/performance/refunds/summary 在官方侧边栏已标注为 Deprecated，被新的 returns/summary 取代。
Insights Management (undocumented)	Retrieve negative feedback performance summary	未列入文档	GET	/v3/insights/performance/negativeFeedback/summary
Insights Management (undocumented)	Retrieve negative feedback report	未列入文档	GET	/v3/insights/performance/negativeFeedback/report
Insights Management (undocumented)	Retrieve returns performance summary	未列入文档	GET	/v3/insights/performance/returns/summary
Insights Management (undocumented)	Retrieve returns performance report	未列入文档	GET	/v3/insights/performance/returns/report
Insights Management (undocumented)	Retrieve item not received performance summary	未列入文档	GET	/v3/insights/performance/itemNotReceived/summary
Insights Management (undocumented)	Retrieve item not received report	未列入文档	GET	/v3/insights/performance/itemNotReceived/report
